==============================================================================
    step     energy [au]  potential [au]  temp [K]  wall clock time           
     331   -202.02679797   -206.52229765    310.89  2022-01-12 Wed 20:19:40.58
     332   -202.02679718   -206.52123444    307.50  2022-01-12 Wed 20:19:51.25
     333   -202.02679722   -206.52029847    304.50  2022-01-12 Wed 20:20:02.31
     334   -202.02679788   -206.51952126    302.29  2022-01-12 Wed 20:20:12.95
     335   -202.02679786   -206.51893910    299.97  2022-01-12 Wed 20:20:23.77
     336   -202.02679548   -206.51853231    297.01  2022-01-12 Wed 20:20:34.34
     337   -202.02678966   -206.51819125    293.78  2022-01-12 Wed 20:20:45.18
     338   -202.02678210   -206.51786793    290.67  2022-01-12 Wed 20:20:55.84
     339   -202.02677500   -206.51765875    288.35  2022-01-12 Wed 20:21:06.51
     340   -202.02676992   -206.51766756    286.88  2022-01-12 Wed 20:21:17.12
     341   -202.02676760   -206.51789901    285.43  2022-01-12 Wed 20:21:27.74
     342   -202.02676763   -206.51827559    283.18  2022-01-12 Wed 20:21:38.39
     343   -202.02676933   -206.51871630    280.71  2022-01-12 Wed 20:21:49.03
