====================================================================
   i   j      r [au]   pdf: d(r)   rdf: g(r)   cn: n1(r)   cn: n2(r)
   1   1      5.4300      0.0541      0.3527      8.0168      8.0168
   1   1      5.4400      0.0537      0.3484      8.0361      8.0361
   1   1      5.4500      0.0556      0.3597      8.0561      8.0561
   1   1      5.4600      0.0544      0.3502      8.0757      8.0757
   1   1      5.4700      0.0533      0.3424      8.0949      8.0949
   1   1      5.4800      0.0539      0.3449      8.1143      8.1143
   1   1      5.4900      0.0545      0.3474      8.1340      8.1340
   1   1      5.5000      0.0542      0.3441      8.1535      8.1535
   1   1      5.5100      0.0561      0.3548      8.1737      8.1737
   1   1      5.5200      0.0562      0.3543      8.1939      8.1939
   1   1      5.5300      0.0580      0.3644      8.2148      8.2148
   1   1      5.5400      0.0604      0.3779      8.2365      8.2365
