 --- primitive lattice vectors ---
    34   0.0046529331  0.0311522880 -0.6175522816
    35   0.0029429069 -0.0039273388 -0.1208275523
    36   0.0027675160  0.0019121356 -0.1233283708
    37  -0.0011318123 -0.0041451992 -0.1231245559
    38  -0.0012927084  0.0024751434 -0.1253742059
 n=    29 A   IR&R
     hbarW=  0.12163955E-02 Ha =  0.33099804E-01 eV; nu=  0.26696795E+03 cm^-1
    25  -0.0000928108  0.0384922880  0.0004786229
    26   0.0000877283  0.0031559943  0.0002448343
    27  -0.0199549347  0.0037122305 -0.0230190619
    28   0.0207535874  0.0039561066  0.0234850583
    29  -0.0204745332  0.0040475600  0.0223279254
    30   0.0197770763  0.0039244936 -0.0219239520
    31  -0.0000365105 -0.0192295733  0.0002121706
    32  -0.0002916276 -0.1683424274  0.0008667186
    33   0.0057026593  0.1023663328 -0.5935772190
    34  -0.0043769816  0.1026053355  0.5846247978
    35   0.0044629997  0.0084331898 -0.2495819830
    36  -0.0041122421  0.0083757162  0.2492263745
    37  -0.0002834363  0.0076323411 -0.2523249177
    38   0.0004984881  0.0076667098  0.2499808284
 n=    30 A   IR&R
     hbarW=  0.19303009E-02 Ha =  0.52526158E-01 eV; nu=  0.42365208E+03 cm^-1
    25   0.0020514923  0.0000439275 -0.0003261268
    26   0.0145779408  0.0000385524 -0.0003601022
    27  -0.0144755183  0.0035391312 -0.0217461576
    28  -0.0143719623 -0.0035748462 -0.0216856220
    29  -0.0134092041  0.0030515725  0.0203122103
    30  -0.0133840979 -0.0030336064  0.0202357109
